Author,Title,Journal,Abstract,"Times Cited, WoS Core",Publication Date,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,experimental?,Replication?,comments,Open Access (article),citation of initial study,author overlap,year of initial study,years between initial and replication study,experimental paradigm,sample,materials/set-up,measurement (dependent variable),manipulation (independent variable),control,type of replication,language under investigation,"if direct, check for success",citation count of replication,citation count of initial study,,
"Finley, Sara",Learning Exceptions in Phonological Alternations,LANGUAGE AND SPEECH,"The present study explores learning phonological alternations that contain exceptions. Participants were exposed to a back/round vowel harmony pattern in which a regular suffix obeyed a vowel harmony rule, varying between /e/ and /o/ depending on the back/round phonetic features of the stem, and a non-alternating suffix that was always /o/ regardless of the features of the stem vowel. Participants in Experiment 1 learned the behavior of both suffixes, but correct performance for the non-alternating suffix was higher when the suffix happened to be in harmony with the stem. Participants in Experiment 2 were exposed to the non-alternating affix in harmonic contexts only, and continued to show a bias towards harmony. Experiment 3 replicated Experiment 2 with minimal training on disharmonic cases of the non-alternating morpheme. However, participants were less likely to learn the alternating affix without exposure to morphological stem, stem + suffix alternations in Experiment 4, suggesting a bias towards morphophonological alternations in learning vowel harmony patterns.",0,,2020,,,,,23830920978679,10.1177/0023830920978679,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"Kabak, Baris; Idsardi, William J.",Perceptual distortions in the adaptation of English consonant clusters: Syllable structure or consonantal contact constraints?,LANGUAGE AND SPEECH,"We present the results from an experiment that tests the perception of English consonantal sequences by Korean speakers and we confirm that perceptual epenthesis in a second languge (L2) arises from syllable structure restrictions of the first language (L1), rather than linear co-occurence restrictions. Our study replicates and extends Dupoux, Kakehi, Hirose, Pallier, & Mehler's (1999) results that suggested that listeners perceive epenthetic vowels within consonantal sequences that violate the phonotactics of their L1. Korean employs at least two kinds of phonotactic restrictions: (i) syllable structure restrictions that prohibit the occurence of certain consonants in coda position (e.g., *[c.], *[g.]), while allowing others (e.g., [k.], [1.]), and (ii) consonantal contact restrictions that ban the co-occurrence of certain heterosyllabic consonants (e.g., *[k.m]; *[l.n]) due to various phonological processes that repair such sequences on the surface (i.e., /k.m/ -> [n.m]; /l.n/ -> [1.1]). The results suggest that Korean syllable structure restrictions, rather than consonantal contact restrictions, result in the perception of epenthetic vowels. Furthermore, the frequency of co-occurrence fails to explain the epenthesis effects in the percept of consonant clusters employed in the present study. We address questions regarding the interaction between speech perception and phonology and test the validity of Steriade's (2001 a,b) Perceptual-Mapping (P-Map) hypothesis for the Korean sonorant assimilation processes. Our results indicate that Steriade's hypothesis makes incorrect predictions about Korean phonology and that speech perception is not isomorphic to speech production.",52,,2007,50,,23,52,,10.1177/00238309070500010201,1,1,replication and extension of previous findings,0,"DUPOUX, E., KAKEHI, K., HIROSE, Y., PALLIER, C., & MEHLER, J. (1999). Epenthetic vowels in Japanese: A perceptual illusion? Journal of Experimental Psychology: Human Perception and Performance, 25, 1568 – 1578.",0,1999,8,0,1,1,0,0,1,conceptual,Korean; English (initial: Japanese & English),NA,,,,
"Kazanas, Stephanie A.; Altarriba, Jeanette",Emotion Word Type and Affective Valence Priming at a Long Stimulus Onset Asynchrony,LANGUAGE AND SPEECH,"As the division between emotion and emotion-laden words has been viewed as controversial by, for example, Kousta and colleagues, the current study attempted a replication and extension of findings previously described by Kazanas and Altarriba. In their findings, Kazanas and Altarriba reported significant differences in response times (RTs) and priming effects between emotion and emotion-laden words, with faster RTs and larger priming effects with emotion words than with emotion-laden words. These findings were consistent across unmasked (Experiment 1) and masked (Experiment 2) versions of a lexical decision task, where participants either explicitly or implicitly processed the prime words of each prime-target word pair. Findings from Experiment 2 have been previously replicated by Kazanas and Altarriba with a Spanish-English bilingual sample, when tested in English, the participants' functionally dominant language. The current study was designed to extend these previous findings, using a l000-ms stimulus onset asynchrony (SOA), which was longer than the 250-ms SOA originally used by Kazanas and Altarriba. Findings from the current study supported the division between emotion and emotion-laden words, as they replicated those previously described by Kazanas and Altarriba. In addition, the current study determined that negative words were processed significantly slower in this experiment, with a long SOA (replicating findings by Rossell and Nobre).",15,SEP,2016,59,3,339,352,,10.1177/0023830915590677,1,1,replication and extension of previous study by the same authors,0,"Kazanas, S. A., & Altarriba, J. (2015). The automatic activation of emotion and emotion-laden words: Evidence from a masked and unmasked priming paradigm. American Journal of Psychology, 128(3), 323–336.",1,2015,1,0,0,0,0,1,0,partial,English,NA,,,,
"Pinnow, Eleni; Connine, Cynthia M.",Phonological Variant Recognition: Representations and Rules,LANGUAGE AND SPEECH,"The current research explores the role of lexical representations and processing in the recognition of phonological variants. Two alternative approaches for variant recognition are considered: a representational approach that posits frequency-graded lexical representations for variant forms and inferential processes that mediate between the spoken variant and the lexical representation. In a lexical decision task (Experiment 1) and in a phoneme identification task (Experiment 2) using real words, low-frequency variants, but not high-frequency variants, show improved recognition rates following additional experience with the variants. This knowledge generalized to novel variant forms. Experiment 3 replicated these results using an artificial lexicon and showed that recognition of low-frequency variants was influenced by similarity to a high-frequency variant form. Similarity to a high-frequency variant alone, however, was insufficient to explain recognition of the infrequent variants (Experiments 4 and 5). The results support a hybrid account of variant recognition that relies on both multiple frequency-graded representations and inference processes.",10,MAR,2014,57,1,42,67,,10.1177/0023830913479105,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"Rimzhim, Anurag; Johri, Avantika; Kelty-Stephen, Damian G.; Fowler, Carol A.",Transposition Effects in an Aksharic Writing System: The Case of Hindi,LANGUAGE AND SPEECH,"We tested for transposition effects (TEs) in Hindi (a Modern Indo-Aryan language) using unprimed lexical decision. TEs are defined as less accurate and slower responses to transposed-nonwords (e.g., < psate(sic), formed from base-word < paste(sic)) than corresponding replaced-nonwords (e.g., < pzute(sic)). In Hindi's orthography, letters map transparently to phonemes (except schwa), but the letters are arranged into akshars, (<[C-n]V(sic)) which encode open syllables. This formal characteristic makes Hindi's orthography typologically aksharic. We used TEs to determine whether the orthography's typological units, letters and akshars, are also functional units for readers. We conducted three visual word recognition experiments with adult readers whose native language was Hindi. In Experiment 1, we found TEs for consonant (< C(sic)) and matra (< M(sic), a vowel diacritic) letters, using different stimulus sets for each type of transposition. In the next two experiments, we used the same base words to form all of the transposed and replaced items. In Experiment 2, we replicated the findings of Experiment 1 in a different stimulus set; additionally, we found TEs for transpositions between a < C(sic) letter and a < CM(sic) akshar. In Experiment 3, we replicated results of the first two experiments by finding TEs for both consonants and matras in another stimulus set; additionally, we found similar TEs for < CM(sic) akshars. These results show that < C(sic) and < M(sic) letters are functional units for Hindi readers; the transposition results for < CM(sic) akshars are tentative. TEs for letters show that the aksharic grouping of letters does not prevent readers from decoding the constituent letters of akshars. Hindi is read alphabetically.",0,,2020,,,,,23830920971315,10.1177/0023830920971315,1,1,inner-paper replication,0,same,1,2020,0,0,0,1,0,1,0,conceptual,Hindi,NA,,,,
"Stevenson, RJ; Nelson, AWR; Stenning, K",The role of parallelism in strategics of pronoun comprehension,LANGUAGE AND SPEECH,"Two experiments investigated the role of parallelism in strategies of pronoun assignment and tested the proposition that a parallel function strategy and the subject assignment strategy jointly contribute to the interpretation of pronouns. The parallel function strategy interprets a pronoun as coreferential with a preceding noun phrase in the same grammatical role, while the subject assignment strategy interprets a pronoun as coreferential with a preceding subject noun phrase. The results of Experiment 1 showed that the subject assignment and parallel function strategies jointly constrained assignment. When both strategies yielded the same interpretation, as was the case for subject assignments with subject pronouns, subject assignment preferences were greater than when only the subject assignment strategy was available, as was the case with nonsubject pronouns in partially parallel sentences (i.e., sentences in which the pronoun and antecedent differed grammatically). When the two strategies yielded conflicting assignments, as was the case with nonsubject pronouns in fully parallel sentences, subject assignments were reduced even further and nonsubject assignments were preferred. Experiment 2 replicated the results of Experiment 1 in isolated sentences rather than in short texts and ruled out the idea that a third ''parallel order'' strategy might be used in partially parallel sentences. We suggest that the subject assignment strategy reflects the topic status of the subject noun phrase, while parallel function reflects the use of correspondences between sentence structures in comprehension. We also suggest that the joint operation of heuristic strategies implies a model of discourse processing in which a number of constraints compete in the interpretation of noun phrases.",24,OCT-DEC,1995,38,,393,418,,10.1177/002383099503800404,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"STOWE, LA; TANENHAUS, MK; CARLSON, GN",FILLING GAPS ONLINE - USE OF LEXICAL AND SEMANTIC INFORMATION IN SENTENCE PROCESSING,LANGUAGE AND SPEECH,"Two experiments investigated how people assign an interpretation to question phrases. In order to determine the meaning of the WH-phrase (e.g., who, what), a gap must be located and the role associated with the gap assigned to the WH-phrase. Two experiments tested the Lexical Expectation model of Fodor (1978), according to which lexical properties of the verb determine when a gap is posited, and the All Resorts model of Stowe (1984), according to which all possibilities are considered and evaluated on their pragmatic appropriateness. In Experiment 1, subjects judged the meaningfulness of full sentences. The frequency with which verbs are used transitively determined whether there was an effect of the plausibility of the WH-phrase to act as an object of the verb. Effects of plausibility of the WH-phrase as an object showed up in just those cases where the object role should be assigned to the WH-phrase according to the Lexical Expectation model, rather than as predicted by the All Resorts model. In Experiment 2, these results were replicated using the word-by-word self-paced reading paradigm. The plausibility effect showed up at the verb itself when it is normally used transitively. This evidence suggests that a gap is preferred even over a lexically filled object for transitive expectation verbs.",35,OCT-DEC,1991,34,,319,340,,10.1177/002383099103400402,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"Tomlinson, John M., Jr.; Gotzner, Nicole; Bott, Lewis",Intonation and Pragmatic Enrichment: How Intonation Constrains Ad Hoc Scalar Inferences,LANGUAGE AND SPEECH,"Pragmatic inferences require listeners to use alternatives to arrive at the speaker's intended meaning. Previous research has shown that intonation interacts with alternatives but not how it does so. We present two mouse tracking experiments that test how pitch accents affect the processing of ad hoc scalar implicatures in English. The first shows that L+H* accents facilitate implicatures relative to H* accents. The second replicates this finding and demonstrates that the facilitation is caused by early derivation of the implicature in the L+H* condition. We attribute the effect to a link between L+H* and pragmatic considerations, such as speaker knowledge effects, or the saliency of alternatives relevant to the computation of implicatures. More generally our findings illustrate how intonation interacts at a cognitive level with pragmatic inference.",9,JUN,2017,60,2,200,223,,10.1177/0023830917716101,1,0,no clear communication of intent to replicate an original study,1,,,,NA,,,,,,,NA,,NA,,,,
"Whalen, DH; Magen, HS; Pouplier, M; Kanq, AM; Iskarous, K",Vowel production and perception: Hyperarticulation without a hyperspace effect,LANGUAGE AND SPEECH,"The ability of speakers to exaggerate speech sounds (hyperarticulation) has led to the theory that the targets themselves must be hyperarticulated. Johnson, Flemming, and Wright (1993) found that perceptual best exemplar choices for vowels were more extreme than listeners' own productions. Our first experiment, using their procedure, only partially replicated their results. Low vowels showed a higher F I, consistent with hyperspace. Front vowels also showed more frontness in F2, but back vowels were less extreme (hypoarticulated) on F2. Our second experiment used an identification and rating of each stimulus, yielding similar results of a smaller magnitude. Our results indicate that the perceptual space is calibrated to a particular (synthetic) vowel space, which is not related straightforwardly to the speakers' spaces. The original hyperspace hypothesis can be attributed to the methodology which led to extreme judgments and of the fronting of back vowels in California English. The present results indicate that no such hypothesis is needed. Vowel targets are measurable from an individual's productions, and the individual's perception of other speakers (even synthetic ones) is based on information about the vocal tract and dialect of the speaker.",12,,2004,47,,155,174,,10.1177/00238309040470020301,1,1,replication and extension of a previous study,0,"JOHNSON, K., FLEMMING, E., & WRIGHT, R. (1993). The hyperspace effect: Phonetic targets are hyperarticulated. Language, 69, 505 – 528.",0,1993,11,0,1,1,0,0,0,conceptual,English (initial: different dialect),NA,,,,
"Flis, Gabriela; Sikorski, Adam; Szarkowska, Agnieszka",Does the dubbing effect apply to voice-over? A conceptual replication study on visual attention and immersion,JOURNAL OF SPECIALISED TRANSLATION,"In an eye-tracking study, Romero-Fresco (2016) discovered that when watching a dubbed film, Spanish viewers hardly looked at characters' mouths and focussed instead on their eyes - a phenomenon he termed 'the dubbing effect'. Our study is a conceptual replication of Romero-Fresco's study, aimed at answering the question of whether a similar effect also takes place in voice-over: do viewers avoid looking at characters' mouths to stay immersed in the film story? With this question in mind, we tested 35 Polish native speakers watching a 6-minute voiced-over excerpt from Casablanca while their eyes were monitored with an eye tracker. We also measured viewers' immersion levels as well as their enjoyment and comprehension. In this paper, we present two experiments. In Experiment 1, by analysing viewers' gaze behaviour and immersion levels, we found that Polish viewers did not avoid looking at characters' mouths. In Experiment 2, we compared our results with those obtained in the original study with Spanish and English viewers. We found that visual attention distribution in Polish voice-over resembled the one observed in English viewers, who watched the film with the original soundtrack. Both Polish and English viewers spent more time looking at characters' eyes in scenes with no dialogue compared to scenes with dialogue, as opposed to the Spanish people for whom the tendency was reversed.",1,JAN,2020,,33,41,69,,,1,1,replication in a different language,1,"Romero-Fresco, Pablo (2016). “The dubbing effect: An eye-tracking study comparing the reception of original and dubbed films.” Paper presented at Linguistic and Cultural Representation in Audiovisual Translation (Sapienza Università di Roma and Università degli Studi di Roma Tre, 11-13 February).",0,2016,4,0,1,1,0,0,0,conceptual,Polish,NA,,,,
"Orero, Pilar; Doherty, Stephen; Kruger, Jan-Louis; Matamala, Anna; Pedersen, Jan; Perego, Elisa; Romero-Fresco, Pablo; Rovira-Esteva, Sara; Soler-Vilageliu, Olga; Szarkowska, Agnieszka",Conducting experimental research in audiovisual translation (AVT): A position paper,JOURNAL OF SPECIALISED TRANSLATION,"Experimental studies on AVT have grown incrementally over the past decade. This growing body of research has explored several aspects of AVT reception and production using behavioural measures such as eye tracking, as well as venturing into physiological measures such as electroencephalography (EEG), galvanic skin response, and heart rate. As a novel approach to the field of AVT, the experimental approach has borrowed heavily from other fields with established experimental traditions, such as psycholinguistics, psychology, and cognitive science. However, these methodologies are often not implemented with the same rigour as in the disciplines from which they were taken, making for highly eclectic and, at times, inconsistent practices. The absence of a common framework and best practice for experimental research in AVT poses significant risk in addition to the potential reputational damage. Some of the most important risks are: the duplication of efforts, studies that cannot be replicated due to a lack of methodological standardisation and rigour, and findings that are, at best, impossible to generalise from and, at worst, invalid. Given the growing body of work in AVT taking a quasi-experimental approach, it is time to consolidate our position and establish a common framework in order to ensure the integrity of our endeavours. This chapter analyses problems and discusses solutions specifically related to the multidisciplinary nature of experimental AVT research. In so doing, it aims to set the course for future experimental research in AVT, in order to gain credibility in the wider scientific community and contributes new insights to the fields from which AVT has been borrowing. Its conclusion lays out the foundation for a common core of measures and norms to regulate research in the growing field of AVT.",17,JUL,2018,,30,105,126,,,0,0,meta-level; position paper,1,,,,NA,,,,,,,NA,,NA,,,,
"Avcu, Enes; Hestvik, Arild",Unlearnable phonotactics,GLOSSA-A JOURNAL OF GENERAL LINGUISTICS,"The Subregular Hypothesis (Heinz 2010) states that only patterns with specific subregular computational properties are phonologically learnable. Lai (2015) provided the initial laboratory support for this hypothesis. The current study aimed to replicate and extend the earlier findings by using a different experimental paradigm (oddball task) and a different measure of learning (sensitivity index, d'). Specifically, we compared the learnability of two phonotactic patterns that differ computationally and typologically: a simple rule (First-Last Assimilation) that requires agreement between the first and last segment of a word (predicted to be unlearnable), and a harmony rule (Sibilant Harmony) that requires the agreement of features throughout the word (predicted to be learnable). The First-Last Assimilation rule was tested under two experimental conditions: one where the training data were also consistent with the Sibilant Harmony rule, and one where the training data were only consistent with the First-Last rule. As in Lai (2015), we found that participants were significantly more sensitive to violations of the Sibilant Harmony (SH) rule than to the First-Last Assimilation (FL) rules. However, unlike Lai (2015), we also found that participants showed some residual sensitivity to the First-Last rule, but that sensitivity interacted with rule type so that participants were significantly more sensitive to SH rule violations. We conclude that participants in Artificial Grammar Learning experiments exhibit evidence of Universal Grammar constraining their learning, but patterns predicted to be unlearnable as a linguistic system can still be learned to some degree, due to non-linguistic learning mechanisms.",1,JUN 12,2020,5,1,,,56,10.5334/gjgl.892,1,1,replication of a previous study using a different paradigm,1,"Lai, Regina. 2015. Learnable vs. unlearnable harmony patterns. Linguistic Inquiry 46(3). 425–451. DOI: https://doi.org/10.1162/LING_a_00188",0,2015,5,1,0,0,0,0,1,conceptual,English,NA,,,,
"Feiman, Roman; Maldonado, Mora; Snedeker, Jesse",Priming quantifier scope: Reexamining the evidence against scope inversion,GLOSSA-A JOURNAL OF GENERAL LINGUISTICS,"In a study of quantifier-scope priming, Chemla and Bott (2015) found evidence suggesting that, while representations of quantifiers' relative scope can be primed, a scope inversion operation cannot. We identify a confound in their materials. In Experiment 1, we replicate their finding with this confound intact. In Experiment 2, we remove the confound and find that all priming disappears. This confound demonstrates how structural priming paradigms can be sensitive to many dimensions of similarity, pointing to a need for task-specific controls. We conclude that the prior study does not provide evidence concerning the priming of either relative scope representations or operations. While priming of scope representations has been independently found in other paradigms, the jury is still out on Chemla and Bott's more novel finding - the absence of priming of a scope inversion operation.",0,MAR 27,2020,5,1,,,35,10.5334/gjgl.1201,1,1,replication of a previous study in order to test for a potential confound,1,"Chemla, Emmanuel & Lewis Bott. 2015. Using Structural Priming to Study Scopal Representations and Operations. Linguistic Inquiry 46(1). 157–172. DOI: https://doi.org/10.1162/LING_a_00178",0,2015,5,0,0,0,0,0,1,partial,English,NA,,,,
"Hinterwimmer, Stefan; Brocher, Andreas",An experimental investigation of the binding options of demonstrative pronouns in German,GLOSSA-A JOURNAL OF GENERAL LINGUISTICS,"This paper discusses data from two self-paced reading experiments as well as an acceptability rating study that shed light on the binding behaviour of demonstrative pronouns as opposed to personal pronouns. Participants read (Experiments 1 & 2) or rated (Experiment 3) single sentences that contained either a demonstrative pronoun (DPro) or a personal pronoun (PPro). Sentences contained a determiner phrase (DP) that functioned as the grammatical subject and a DP that functioned as the direct, indirect or prepositional object. The pronoun was either contained in the direct object DP or a prepositional object DP. In half of the sentences, pronouns could only be interpreted as bound by the subject DP. In the other half of sentences, they could only be interpreted as bound by the object DR Results from Experiment 1 reveal similar reading times for DPros and PPros when they were bound by the object DP, and significantly longer reading times for DPros than PPros when they were bound by the subject DP. Experiment 2 replicated the DPro effect from Experiment 1 with materials where potential subject and object binders were quantifiers. Finally, Experiment 3 shows that also in the context of quantifier binding DPros are not generally dispreferred. Sentences with a DPro were only rated as less acceptable than sentences with a PPro when the potential binder was the subject. Taken together, our data provide evidence that DPros can be bound as long as their binders are not grammatical subjects.",0,JUN 29,2018,3,1,,,77,10.5334/gjgl.150,1,0,no clear communication of intent to replicate an original study,1,,,,NA,,,,,,,NA,,NA,,,,
"Linzen, Tal; Oseki, Yohei",The reliability of acceptability judgments across Languages,GLOSSA-A JOURNAL OF GENERAL LINGUISTICS,"The reliability of acceptability judgments made by individual linguists has often been called into question. Recent large-scale replication studies conducted in response to this criticism have shown that the majority of published English acceptability judgments are robust. We make two observations about these replication studies. First we raise the concern that English acceptability judgments may be more reliable than judgments in other languages. Second, we argue that it is unnecessary to replicate judgments that illustrate uncontroversial descriptive facts; rather, candidates for replication can emerge during formal or informal peer review. We present two experiments motivated by these arguments. Published Hebrew and Japanese acceptability contrasts considered questionable by the authors of the present paper were rated for acceptability by a large sample of naive participants. Approximately half of the contrasts did not replicate. We suggest that the reliability of acceptability judgments, especially in languages other than English, can be improved using a simple open review system, and that formal experiments are only necessary in controversial cases.",9,SEP 13,2018,3,1,,,100,10.5334/gjgl.528,0,0,review; meta-level,1,,,,NA,,,,,,,NA,,NA,,,,
"Pycha, Anne",A new test for exemplar theory: Varying versus non-varying words in Spanish,GLOSSA-A JOURNAL OF GENERAL LINGUISTICS,"We used a Deese-Roediger-McDermott false memory paradigm to compare Spanish words in which the phonetic realization of /s/ can vary (word-medial positions: bu[s] to similar to bu[h] to 'chest', word-final positions: remo[s] similar to remo[h] 'oars') to words in which it cannot (word-initial positions: [s] opa similar to *[h] opa 'soup'). At study, participants listened to lists of nine words that were phonological neighbors of an unheard critical item (e.g., popa, sepa, soja, etc. for the critical item sopa). At test, participants performed free recall and yes/no recognition tasks. Replicating previous work in this paradigm, results showed robust false memory effects: that is, participants were more likely to (falsely) remember a critical item than a random intrusion. When the realization of /s/ was consistent across conditions (Experiment 1), false memory rates for varying versus non-varying words did not significantly differ. However, when the realization of /s/ varied between [s] and [h] in those positions which allow it (Experiment 2), false recognition rates for varying words like busto were significantly higher than those for non-varying words like sopa. Assuming that higher false memory rates are indicative of greater lexical activation, we interpret these results to support the predictions of exemplar theory, which claims that words with heterogeneous versus homogeneous acoustic realizations should exhibit distinct patterns of activation.",0,SEP 21,2017,2,1,,,82,10.5334/gjgl.240,1,0,no clear communication of intent to replicate an original study,1,,,,NA,,,,,,,NA,,NA,,,,
"Renans, Agata; Romoli, Jacopo; Makri, Maria Margarita; Tieu, Lyn; de Vries, Hanna; Folli, Raffaella; Tsoulas, George",The abundance inference of pluralised mass nouns is an implicature: Evidence from Greek,GLOSSA-A JOURNAL OF GENERAL LINGUISTICS,"Across languages, plural marking on count nouns typically gives rise to a multiplicity inference, indicating that the noun ranges over sums with a cardinality of 2 or more. Plural marking has also been observed to occur on mass nouns in Greek and a few other languages, giving rise to a parallel abundance inference, indicating that there is a lot of the relevant substance. It has been observed in the literature that both of these inferences disappear in downward-entailing environments, such as when a plural appears in the scope of negation (Tsoulas 2009; Kane et al. 2015). There are two main competing approaches in the literature that aim to account for the described pattern with respect to multiplicity inferences: the ambiguity approach (Farkas & de Swart 2010) and the implicature approach (Sauerland 2003; Spector 2007; Mayr 2015, among others). As discussed in Tieu et al. (2018), while both approaches can account for the upward-versus downward-entailing pattern of multiplicity inferences, they differ in what they predict with respect to the acquisition of these inferences and their relationship with implicatures. lieu et al. (2014; 2018) investigated multiplicity inferences in English and reported evidence for the implicature approach. In this paper, we first show how the ambiguity approach and the implicature approach to the multiplicity inference can be extended to account for the abundance inference. We then report on an experiment that tests the predictions of the two approaches for multiplicity and abundance inferences in preschool-aged children and adult native speakers of Greek. Our results replicate the patterns reported in Tieu et al. (2014; 2018) for multiplicity inferences, and crucially reveal an analogous pattern for abundance inferences. Adults computed both kinds of inferences more in upward-entailing environments than in downward-entailing ones, and children computed fewer inferences overall than adults did. These results reflect an overall pattern of implicature calculation in line with a unified implicature analysis across the three kinds of inferences. By contrast, we discuss how they pose a challenge for the ambiguity approach.",2,OCT 3,2018,3,1,,,103,10.5334/gjgl.531,1,0,no clear communication of intent to replicate an original study,1,,,,NA,,,,,,,NA,,NA,,,,
"Syrett, Kristen; Lingwall, Anne; Perez-Cortes, Silvia; Austin, Jennifer; Sanchez, Liliana; Baker, Hannah; Germak, Christina; Arias-Amaya, Anthony",Differences between Spanish monolingual and Spanish-English bilingual children in their calculation of entailment-based scalar implicatures,GLOSSA-A JOURNAL OF GENERAL LINGUISTICS,"In this paper, we extend investigations of the possible effects of cross-linguistic influence at the pragmatics-syntax interface (Hulk & Muller 2000; Muller & Hulk 2001; Serratrice, Sorace & Paoli 2004), by presenting two experiments designed to probe how Spanish monolingual and Spanish-English bilingual preschool-age children approach the 'some, but not all' scalar implicature (SI) associated with algunos ('some'). We compare algunos and unos (also a 'some' indefinite, but one that is not context-linked and does not induce an SI), and algunos and todos (the universal quantifier 'every/all'). The performance of the children is compared to fluent adult Spanish heritage speakers. Experiment 1 is a variation of Noveck's (2001) statement evaluation task, also replicated by Guasti et al. (2005). Experiment 2 is a forced-choice picture selection task. Results demonstrate that adults were the only group to consistently calculate the SI associated with algunos - a finding that was expected to some extent, given that our tasks were stripped of the contextual support that could benefit children's pragmatic reasoning. While bilingual and monolingual children displayed comparable performance across tasks, bilinguals in Experiment 2 appeared to experience difficulty with judgments related to todos - a pattern we attribute (in light of independent findings) to the cognitive overload in the task, not the lexical entry of this quantifier. We conclude that young monolingual and bilingual children confront the same challenges when called upon to deploy pragmatic skills in a discourse context.",3,APR 18,2017,2,1,,,31,10.5334/gjgl.76,1,0,no clear communication of intent to replicate an original study,1,,,,NA,,,,,,,NA,,NA,,,,
"Arvaniti, A; Ladd, DR; Mennen, I",Stability of tonal alignment: the case of Greek prenuclear accents,JOURNAL OF PHONETICS,"Greek prenuclear accents show a sharp rise that starts near the onset of the accented syllable and peaks on the following unaccented syllable (if there is one). We have presented elsewhere evidence for analyzing these accents as consisting of a L(ow) and a H(igh) target. In a first experiment exploring the factors that affect the location of the H target, we discovered that in words with antepenultimate lexical stress the H is consistently aligned just after the onset of the first postaccentual vowel. In a second experiment we replicated this finding, showing that the alignment of the H is not affected by variations in the duration of the accented syllable. A third experiment showed that for some speakers the alignment of the H may be affected by tonal crowding, when the accented syllable is close to the end of the word and/or close to the next accent. Overall, however, the results show that the L and H targets are independently aligned relative to the segmental string: the accentual rise is neither of fixed slope nor of fixed duration. This result, which replicates and extends earlier findings of Prieto, van Santen & Hirschberg (1995) for Mexican Spanish, is difficult to accommodate in a theory that views pitch movements as the primes of intonational structure. (C) 1998 Academic Press Limited.",149,JAN,1998,26,1,3,25,,10.1006/jpho.1997.0063,1,1,inner-paper replication,0,same,1,1998,0,0,0,1,1,0,0,conceptual,Greek,NA,,,,
"Badin, Pierre; Boe, Louis-Jean; Sawallis, Thomas R.; Schwartz, Jean-Luc",Keep the lips to free the larynx: Comments on de Boer's articulatory model (2010),JOURNAL OF PHONETICS,"De Boer (2010a) used a simplified adaptation of Mermelstein's articulatory model without lips to investigate the effect of larynx position on the articulatory abilities of a human-like vocal tract. He found an optimal larynx height at which the largest range of signals [are] produced. Our replication of de Boer's simulations confirmed the peak in the F2 range function when 'the vertical and horizontal parts of the tract are approximately equally long. However, simulations show that the diminished F2 range at high larynx positions stems from an insufficiently low F2 in the /u/ region. Without an independent lip closure paired with the velodorsal constriction, the model cannot create the two cavities necessary to produce simultaneously low F1 and F2. A second series of simulations with a proper lip section essentially restored the F2 space across a large range of larynx heights. These experiments confirm that larynx height does not inordinately restrict the acoustic F1 F2 capacities. of a mammalian vocal tract, provided that lips are appropriately included in the simulations. (C) 2014 Elsevier Ltd. All rights reserved.",8,SEP,2014,46,,161,167,,10.1016/j.wocn.2014.07.002,0,1,replication of a model,0,"de Boer, B. (2010). Investigating the acoustic effect of the descended larynx with articulatory models. Journal of Phonetics, 38(4), 679–686.",0,2010,4,,,,,,,NA,,NA,,,,
"Janse, Esther; Ernestus, Mirjam",The roles of bottom-up and top-down information in the recognition of reduced speech: Evidence from listeners with normal and impaired hearing,JOURNAL OF PHONETICS,"Highly reduced pronunciation variants, such as something like 'yeshay' for yesterday, are abundant in conversational speech. Previous research has shown that listeners understand such pronunciation variants only in their sentential contexts. This study further investigates the roles of the acoustic properties of reduced words themselves and of semantic/syntactic and acoustic information in their contexts. We report five experiments in which participants were tested on the recognition of reduced words originating from a corpus of conversational Dutch. Experiment 1, a visual doze test, demonstrates that our set of reduced words cannot be guessed just on the basis of their semantic/syntactic context. Experiment 2 replicates the earlier finding that reduced words can only be recognised in their contexts. Experiment 3 shows that the reduced words were less well recognised if the context is presented visually in the form of orthographic transcriptions. These experiments suggest that listeners need some acoustic properties of reduced words themselves, together with semantic/syntactic and acoustic information in their contexts, to recognise reduced words. Experiments 4 and 5 confirm the importance of acoustic information for word recognition by showing that high-frequency hearing loss hinders both the interpretation of the target words' acoustic properties, and the use of neighbouring context. (C) 2011 Elsevier Ltd. All rights reserved.",22,JUL,2011,39,3,330,343,,10.1016/j.wocn.2011.03.005,1,1,replication and extension of a previous study by the same authors,0,"Ernestus, M., Baayen, H., & Schreuder, R. (2002). The recognition of reduced word forms. Brain and Language, 81, 162–173.",1,2002,9,0,0,0,0,1,1,conceptual,Dutch,NA,,,,
