Author,Title,Journal,Abstract,"Times Cited, WoS Core", ,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,experimental?,Replication?,comments,Open Access (article),citation of initial study,journal of initial study,author overlap,year of initial study,years between initial and replication study,experimental paradigm,sample,materials/set-up,measurement (dependent variable),manipulation (independent variable),control,type of replication,language under investigation,"if direct, check for success",citation count of replication,citation count of initial study until incl. 2020 (retrieved: 16.08.2021),citation count until replication study was published (retrieved: 16.08.2021)
"Shosted, Ryan K.",An articulatory-aerodynamic approach to stop excrescence,JOURNAL OF PHONETICS,"The distinction between underlying and excrescent stops in pairs like 'mints' and 'mince' was convincingly demonstrated by Fourakis and Port (1986). Several subsequent studies have been unable to replicate the result for speakers of American English, or have done so only partially. These studies have largely dealt with the acoustic signal. This study presents an approach to stop excrescence that refers to both the aerodynamics and articulation of the phenomenon. The results confirm and expand on the original findings. Using nasal flow as an indirect measure of velopharyngeal aperture and electropalatography (EPG) to estimate the moment of oral release, the presence of occlusion, as well as the duration of nasal and oral occlusion were measured. Overall contact across the palate was also measured. Disyllabic and monosyllabic tokens with /ns/ and /nts/ in final position were pronounced by four male speakers of American English. Disyllabic tokens could be either stressed or unstressed on the final syllable. In Experiment I, speakers produced tokens in a standard carrier phrase; in Experiment II, they produced one of the items in contrastive focus to its 'homophonous' counterpart, e.g., 'I said mince not mints'. Underlying stops were significantly longer than excrescent stops, including in the contrastive-focus condition. A trading relation between nasal and oral stop duration was demonstrated when the stop was excrescent, but not when it was underlying. This suggests that the nasal-oral occlusion in epenethetic stops is divided proportionally between the underlying nasal and excrescent oral stop, but that the durations of the nasal and underlying oral stops are independent. (C) 2011 Elsevier Ltd. All rights reserved.",3,OCT,2011,39,4,660,667,,10.1016/j.wocn.2011.07.001,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,3,,
"Sturm, Pavel; Volin, Jan",P-centres in natural disyllabic Czech words in a large-scale speech-metronome synchronization experiment,JOURNAL OF PHONETICS,"The difficulty of pinpointing a specific event within words that would correspond to the p-centre is well known. The current experiment, investigating the position of p-centres in Czech, aims to replicate the findings from English and several other languages, and substantially increase the range of phonotactic types and the number of participants. In a speech-metronome synchronization task, 24 subjects pronounced a set of 37 natural disyllabic Czech words of differing complexity at two metronome rates. The beginning of the first vowel (V1) and the moment of the fastest increase in energy within the first syllable were the most consistent synchronization points, but the p-centre occurred earlier than at the V1 initial boundary. Synchronization intervals were significantly influenced by the complexity of the syllabic onset: the p-centre was positioned earlier (further from the V1) as more consonants were included in the onset. The effects of vowel length and final coda were also present, but weaker. In addition, various aspects of human musicality were found to correlate with the ability of speakers to synchronize their articulations with an isochronous auditory sequence. (C) 2015 Elsevier Ltd. All rights reserved.",3,MAR,2016,55,,38,52,,10.1016/j.wocn.2015.11.003,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,3,,
"Basso, A; Caporali, A",Targeted intervention for multiple language disorders: a case study,JOURNAL OF NEUROLINGUISTICS,"The efficacy of aphasia therapy has been demonstrated in group and single case studies. However, in group studies, treatment was underspecified and replication was impossible. In single case studies, treatment was clearly defined and experimentally controlled but its scope was generally limited, e.g. learning of a pre-determined and relatively low number of words or reading of irregular words. The purpose of this study was to investigate the effects of an intensive (4-5 h/day), clearly defined, and model-based treatment in a subject-DA-with multiple language disorders who was beyond the period of spontaneous recovery. DA underwent a general neuropsychological and language evaluation 8 months post-onset. He had moderate comprehension disorders, reading and writing were slow and severely damaged, and his speech was agrammatic. DA's spontaneous production was analysed according to the Quantitative Production Analysis (QPA) method. Treatment lasted 8 months and was directed at each functional impairment. Results at the first and the final evaluation were compared. Important differences were found in many language tasks and in spontaneous production, showing that intensive and model-based treatment can improve the patient's daily use of language, even in a chronic subject past the period of spontaneous recovery. (C) 2004 Elsevier Ltd. All rights reserved.",0,SEP,2004,17,5,383,401,,10.1016/j.jneuroling.2004.01.001,0,0,meta-level; case study,0,,,,,NA,,,,,,,NA,,NA,0,,
"Buchanan, L; Hildebrandt, N; MacKinnon, GE",Phonological processing of nonwords in deep dyslexia: Typical and independent?,JOURNAL OF NEUROLINGUISTICS,"Patients with acquired deep dyslexia are unable to read nonwords aloud. The deficit has therefore been attributed to damage in nonlexical phonological processing. Buchanan, Hildebrandt and MacKinnon [5 Journal of Neurolingistics 8, 163-182, 1994] demonstrated that a deep dyslexic patient could process nonword phonology in two implicit tests. The generality of this claim is examined by replicating the Buchanan et al. experiments with two other deep dyslexic patients. Dissociations between Lexical and nonlexical processing are examined by manipulating nonword phonology in a task that does not require lexical analysis. The results suggest that sensitivity to nonword phonology in deep dyslexia is common and is distinct from a purely lexical analysis. Copyright (C) 1996 Elsevier Science Ltd",17,APR,1996,9,2,113,133,,10.1016/0911-6044(96)00001-2,1,1,replication and extension of previous study by the same authors,0,"BUCHANAN L., HILDEBRANDT, N. and MACKINNON, Cl. E. Phonlogical processing of nonwords by a deep dyslexic patient: a rowse is implicitly a rose. Journal of Neurolinguistics 8, 163-182, 1994.",Journal of Neurolinguistics,1,1994,2,0,0,0,0,0,0,direct,English,1,17,30,1
"Chang, Claire H. C.; Lin, Tzu-Hui; Kuo, Wen-Jui",Does phonological rule of tone substitution modulate mismatch negativity?,JOURNAL OF NEUROLINGUISTICS,"This study examined whether the phonological substitution rule of tone sandhi modulates tone perception in the preattentive stage. Tone sandhi is commonly present in East Asian languages. An example from Mandarin is the Tone tone 3 sandhi rule: T3 is pronounced as T2 when followed by another T3 (33 -> 23). Previous mismatch negativity (MMN) studies in Mandarin have reported a smaller amplitude or longer latency in standard-deviant pair consisting of T2 and T3 (T2-T3) than in Tl-T3. The most widely accepted explanation for this is that T2 and T3 have steeper pitch slopes than Tl. This study tested an alternative account based on the phonological rule that the frequent substitution that occurs between T2 and T3 results in reduced MMN. In Experiment 1, we first tried to replicate the finding in Mandarin. In Experiment 2, using both unskilled and skilled speakers, we tested a sandhi tone pair of very different pitch slopes in Taiwanese. Delayed peak latency of sandhi pair was evident in both languages but only in skilled speakers. Our results did not support the shared-pitch-slope account and were instead consistent with the argument that a language-specific phonological rule could modulate preattentive tone processing.",0,AUG,2019,51,,63,75,,10.1016/j.jneuroling.2019.01.001,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,0,,
"Dwivedi, Veena D.; Gibson, Raechelle M.",An ERP investigation of quantifier scope ambiguous sentences: Evidence for number in events,JOURNAL OF NEUROLINGUISTICS,"We used event related potentials (ERPs) in order to investigate how sentences, semantically ambiguous with respect to number, are understood. Although sentences such as (i) Every kid climbed a tree lack any syntactic or lexical ambiguity, two possible meanings are available, where either many trees or just one tree was climbed. Previous behavioural studies showed a plural preference, whereas ERP and behavioural experiments conducted in our lab have not. In this work, we further investigate sentences as in (i), called quantifier scope ambiguous sentences, and compare them to unambiguous sentences, (ii) Every kid climbed the trees. Participants read sentences presented in 1- and 2-word chunks, and judged, at the target word tree(s), whether 1 or 2 words appeared on the computer screen (Berent et al., 2005). Previously, interference effects resulted for judgments that 1 word was on the screen when it was marked plural (e.g., trees) versus singular (e.g., tree). Interestingly, Patson and Warren (2010) also showed that this was the case for judgments made for singular words, e.g., tree, in quantifier ambiguous sentences, confirming the plural preference. The current ERP study did not replicate their behavioural findings. Difficulty for 1 responses was not observed for trees in (ii) nor was it observed for tree in quantifier scope sentences (i). Instead, a P300 effect was found at the target word tree(s), where amplitudes differed depending on congruency in number interpretation for subjects and direct objects. Results are discussed in terms of heuristic first sentence processing mechanisms, and relevant features of event knowledge. (C) 2016 Elsevier Ltd. All rights reserved.",3,MAY,2017,42,,63,82,,10.1016/j.jneuroling.2016.11.006,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,3,,
"Fraga, Isabel; Padron, Isabel; Acuna-Farina, Carlos; Diaz-Lago, Marcos",Processing gender agreement and word emotionality: New electrophysiological and behavioural evidence,JOURNAL OF NEUROLINGUISTICS,"The present article reports an ERP study with two experiments designed to assess the influence of emotional adjectives on sentence processing by means of a gender agreement (grammaticality) judgment task. Participants were shown transitive sentences in Spanish presented word-by-word, with a complex object-NP consisting of a noun + an adjective + some additional material. ERPs were recorded at the critical adjectives, which could be either emotionally unpleasant, neutral, or pleasant, and could either agree (match) or fail to agree (mismatch) in gender with the modified noun. Results replicate the typical ERP signatures of morphosyntactic errors. Specifically, larger amplitudes for LAN and P600 components were found in sentences with a gender mismatch in both experiments. However, ERP components did not show any differences between emotional and neutral adjectives in these sentences. Only in Experiment 2 was a significant interaction found between grammaticality and emotionality. Thus, in the 500-700 ms window larger amplitudes emerged for neutral words than for emotional words in match sentences. Likewise, a significant interaction between grammaticality and emotionality in the participants' performance revealed that the presence, of emotional adjectives did facilitate the detection of gender errors. Overall, these results show that during sentence reading syntactic error detection seems to occur in an encapsulated manner, although performance may indeed be facilitated by the presence of emotional words. (C) 2017 Elsevier Ltd. All rights reserved.",6,NOV,2017,44,,203,222,,10.1016/j.jneuroling.2017.06.002,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,6,,
"Phillips, NA; Segalowitz, N; O'Brien, I; Yamasaki, N",Semantic priming in a first and second language: evidence from reaction time variability and event-related brain potentials,JOURNAL OF NEUROLINGUISTICS,"We investigated individual differences in second language (L2) proficiency by looking at the efficiency or automaticity of semantic priming using behavioural and event-related brain potential (ERP) measures. In Experiment 1, 37 first language (L1) English speakers varying in second language (L2, French) proficiency made living/non-living judgments to English and French nouns in lists blocked by language. Sixty critical words were each presented twice, once primed by a semantic associate in the preceding trial (e.g. ADULT, CHILD) and once unprimed (e.g. RABBIT, CHILD). Measures of response time (RT) and intra-individual variability in response time (coefficient of variation, CV) were obtained. The CV provided an index of processing efficiency that has been related to automaticity. Participants performed faster and with lower CVs (i.e. with greater efficiency) in L1 than L2, and the more highly proficient bilinguals had lower CVs than the less proficient bilinguals. Experiment 2 replicated these results with 29 participants and provided an electrical brain activity measure of processing efficiency using the N400 ERP. The similar pattern of results obtained between the behavioural and N400 ERP CV measures supported the idea that the CV measure of electrical brain activity can provide useful information about the automaticity or efficiency of cognitive processing. (C) 2003 Elsevier Ltd. All rights reserved.",48,MAR-MAY,2004,17,2-März,237,262,,10.1016/S0911-6044(03)00055-1,1,1,inner-paper replication,0,same,same,1,2004,0,0,0,1,1,0,1,conceptual,English,NA,48,,
"Vieth, H. E.; McMahon, K. L.; Cunnington, R.; de Zubicaray, G. I.",Interference from object part relations in spoken word production: Behavioural and fMRI evidence,JOURNAL OF NEUROLINGUISTICS,"Objects presented in categorically related contexts are typically named slower than objects presented in unrelated contexts, a phenomenon termed semantic interference. However, not all semantic relationships induce interference. In the present study, we investigated the influence of object part-relations in the blocked cyclic naming paradigm. In Experiment 1 we established that an object's parts do induce a semantic interference effect when named in context compared to unrelated parts (e.g., leaf, root, nut, bark; for tree). In Experiment 2) we replicated the effect during perfusion functional magnetic resonance imaging (fMRI) to identify the cerebral regions involved. The interference effect was associated with significant perfusion signal increases in the hippocampal formation and decreases in the dorsolateral prefrontal cortex. We failed to observe significant perfusion signal changes in the left lateral temporal lobe, a region that shows reliable activity for interference effects induced by categorical relations in the same paradigm and is proposed to mediate lexical-semantic processing. We interpret these results as supporting recent explanations of semantic interference in blocked cyclic naming that implicate working memory mechanisms. However, given the failure to observe significant perfusion signal changes in the left temporal lobe, the results provide only partial support for accounts that assume semantic interference in this paradigm arises solely due to lexical-level processes. (C) 2015 Elsevier Ltd. All rights reserved.",3,NOV,2015,36,,56,71,,10.1016/j.jneuroling.2015.05.002,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,3,,
"Xiang, Ming; Grove, Julian; Giannakidou, Anastasia",Semantic and pragmatic processes in the comprehension of negation: An event related potential study of negative polarity sensitivity,JOURNAL OF NEUROLINGUISTICS,"Most previous studies on negation have generally only focused on sentential negation (not), but the time course of processing negative meaning from different sources remains poorly understood. In an ERP study (Experiment 1), we make use of the negation sensitivity of negative polarity items (NPIs) and examine the time course of processing different kinds of negation. Four kinds of NPI-licensing environments were examined: the negative determiner no, the negative determiner few, the focus marker only, and emotive predicates (e.g., surprised). While the first three contribute a negative meaning via semantic assertion (explicit negation), the last gives rise to a pragmatic negative inference via non-asserted content (implicit negation). Under all these environments, an NPI elicited a smaller N400 compared to an unlicensed NPI, suggesting that negation, regardless of its source, is rapidly computed online. However, we also observed that explicit negative meaning (i.e., semantic, as contributed in the assertion) and implicit negative meaning (contributed by pragmatic inferences) were integrated into the grammatical representation in different ways, leading to a difference in the P600, and calling for a separation of semantic and pragmatic integration during sentence processing (and NPI licensing). The qualitative differences between these conditions were also replicated in a self-paced reading study (Experiment 2). (C) 2015 Elsevier Ltd. All rights reserved.",16,MAY,2016,38,,71,88,,10.1016/j.jneuroling.2015.11.001,1,1,inner-paper replication,0,same,same,1,2016,0,1,0,1,0,1,0,conceptual,English,NA,16,,
"Bird, Steve","Expert knowledge, distinctiveness, and levels of processing in language learning",APPLIED PSYCHOLINGUISTICS,"The foreign language vocabulary learning research literature often attributes strong mnemonic potency to the cognitive processing of meaning when learning words. Routinely cited as support for this idea are experiments by Craik and Tulving (C&T) demonstrating superior recognition and recall of studied words following semantic tasks (deep encoding) compared to structure-related tasks (shallow encoding). However, participants in C&T were not language learners but native speakers of English studying known English nouns. These experiments have never been directly replicated using nonnatives to establish the relevance of the findings to nonnatives and learners. The present study replicated C&T Experiment 5, comparing effects of shallow and deep encoding tasks on subsequent recognition of target words by native and nonnative speakers of English with equivalent short-term memory function. The results showed depth effects similar to C&T for all participants, indicating that C&T's results do generalize to less proficient speakers of the target language. It is crucial, however, that nonnative speakers of English benefited less from semantic encoding than native speakers, suggesting an effect of preexisting knowledge representations on mnemonic effects derived from semantic processing, and hence, a limit to the relevance of C&T for learners. Results are discussed in terms of the constructs of the mental lexicon, expert knowledge, distinctiveness and levels of processing in memory research and language learning.",8,OCT,2012,33,4,665,689,,10.1017/S014271641100052X,1,1,replication and extension of a previous study,0,"Craik, F. I. M., & Tulving, E. (1975). Depth of processing and the retention of words in episodic memory. Journal of Experimental Psychology: General, 104, 268â€“294.",Journal of Experimental Psychology,0,1975,37,0,1,0,0,1,0,conceptual,English (native & nonnative speakers; previously nonnative speakers only),NA,8,NA,NA
"Byrne, B",The learnability of the alphabetic principle: Children's initial hypotheses about how print represents spoken language,APPLIED PSYCHOLINGUISTICS,"This research examines the hypotheses about how print represents the speech that preliterate children select when they receive input compatible with several such hypotheses. In Experiment 1, preschoolers were taught to read hat and hats and book and books. Then, in generalization tests, they were probed for what they had learned about the letter s. All of the children were able to transfer to other plurals (e.g., to decide that bikes said ''bikes'' rather than ''bike,'' and that dog said ''dog'' and not ''dogs''), but only those who knew the sound of the letter s prior to the experiment were able to decide, for example, that bus said ''bus'' and not ''bug.'' The failure to detect the phonemic value of s on the part of alphabetically naive children was replicated in Experiments 2, 3, and 4, which instituted a variety of controls. In Experiment 5, it was found that, although preschoolers who had been taught to read pairs of words distinguished by the comparative affix er (such as small/smaller) were able to generalize to other comparatives (e.g., mean/meaner), they could not generalize to pairs where er had no morphemic value (e.g., corn/corner). A similar failure by alphabetically naive children to detect the syllabic, as compared with the morphemic, status of the superlative affix est was found in Experiment 6. Overall, the results indicate that most preliterate children fail to select phonologically based hypotheses, even when these are available in the input. Instead, they focus on morphophonology and/or semantic aspects of words' referents. The research is couched in terms of the Learnability Theory (LT) (Gold, 1967), which provides a convenient framework for considering a series of interrelated questions about the acquisition of literacy. In particular, it is argued that if the data available to the child includes the pronunciation of written words, the alphabetic principle may be unlearnable, given the hypothesis selection procedures identified in these experiments.",42,DEC,1996,17,4,401,426,,10.1017/S0142716400008171,1,1,inner-paper replication,0,same,same,1,1996,0,0,0,1,0,0,1,conceptual,English,NA,42,,
"Dufour, Sophie; Chuang, Yu-Ying; Nguyen, Noel",The processing of dialectal variants: Further insight from French,APPLIED PSYCHOLINGUISTICS,"In two semantic priming experiments, this study examined how southern French speakers process the standard French [o] variant in closed syllables in comparison to their own variant [LATIN SMALL LETTER OPEN O]. In Experiment 1, southern French speakers showed facilitation in the processing of the associated target word VIOLET whether the word prime mauve was pronounced by a standard French speaker ([mov]) or a southern French speaker ([mLATIN SMALL LETTER OPEN Ov]). More importantly, Experiment 1 has also revealed that words of type mauve, which are subject to dialectal variation, behave exactly in the same way as words of type gomme, which are pronounced with [LATIN SMALL LETTER OPEN O] by both southern and standard French speakers, and for which we also found no modulation in the magnitude of the priming effect as a function of the dialect of the speaker. Experiment 2 replicated the priming effect found with the standard French variant [mov], and failed to show a priming effect with nonwords such as [m oe v] that also differ from the southern French variant [mLATIN SMALL LETTER OPEN Ov] by only one phonetic feature. Our study thus provides further evidence for efficient processing of dialectal variants during spoken word recognition, even if these variants are not part of the speaker's own productions.",1,MAR,2019,40,2,351,372,,10.1017/S0142716418000607,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,1,,
"Ellis, Nick C.; Hafeez, Kausar; Martin, Katherine I.; Chen, Lillian; Boland, Julie; Sagarra, Nuria",An eye-tracking study of learned attention in second language acquisition,APPLIED PSYCHOLINGUISTICS,"This paper investigates the limited attainment of adult compared to child language acquisition in terms of learned attention to morphological cues. It replicates Ellis and Sagarra in demonstrating short-term learned attention in the acquisition of temporal reference in Latin, and it extends the investigation using eye-tracking indicators to determine the extent to which these biases are overt or covert. English native speakers learned adverbial and morphological cues to temporal reference in a small set of Latin phrases under experimental conditions. Comprehension and production data demonstrated that early experience with adverbial cues enhanced subsequent use of this cue dimension and blocked the acquisition of verbal tense morphology. Effects of early experience of verbal morphology were less pronounced. Eye-tracking measures showed that early experience of particular cue dimensions affected what participants overtly focused upon during subsequent language processing and how this overt study resulted in turn in covert attentional biases in comprehension and in productive knowledge.",25,MAY,2014,35,3,547,579,,10.1017/S0142716412000501,1,1,replication and extension of previous study by the same authors,1,"Ellis, N. C., & Sagarra, N. (2010b). The bounds of adult language acquisition: Blocking and learned attention. Studies in Second Language Acquisition, 32, 1â€“28.",Studies in Second Language Acquisition,1,2010,4,1,0,1,0,0,0,conceptual,English,NA,25,54,11
"Festman, Julia; Clahsen, Harald",How Germans prepare for the English past tense: Silent production of inflected words during EEG,APPLIED PSYCHOLINGUISTICS,"Processes involved in late bilinguals' production of morphologically complex words were studied using an event-related brain potentials (ERP) paradigm in which EEGs were recorded during participants' silent productions of English past- and present-tense forms. Twenty-three advanced second language speakers of English (first language [L1] German) were compared to a control group of 19 L1 English speakers from an earlier study. We found a frontocentral negativity for regular relative to irregular past-tense forms (e.g., asked vs. held) during (silent) production, and no difference for the present-tense condition (e.g., asks vs. holds), replicating the ERP effect obtained for the L1 group. This ERP effect suggests that combinatorial processing is involved in producing regular past-tense forms, in both late bilinguals and L1 speakers. We also suggest that this paradigm is a useful tool for future studies of online language production.",5,MAR,2016,37,2,487,506,,10.1017/S0142716415000089,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,5,,
"Folk, JR; Rapp, B",Interaction of lexical and sublexical information in spelling: Evidence from nonword priming,APPLIED PSYCHOLINGUISTICS,"In a series of lexical priming experiments we examined the interaction between spelling processes dedicated to spelling familiar words (lexical processes) and those dedicated to spelling unfamiliar words or nonwords (sublexical processes). Participants listened to lists of intermixed monosyllabic words and nonwords and were required to spell only the nonwords. In the priming condition. nonwords were preceded by real word primes that were phonologically related to the nonwords. In two experiments, we found that the spellings of nonwords could be influenced by previously heard rhyming words, replicating previous work. Furthermore, we examined the mechanism of this lexical/sublexical interaction and found that it is both phonologically and orthographically based and that word primes are most effective when they overlap in word body (vowel + coda) with the nonword. We conclude that lexical and sublexical processes interact in a manner that involves a dynamic updating of sound-spelling correspondences, which, at a minimum, are specified in terms of the word body.",26,OCT,2004,25,4,565,585,,10.1017/s0142716404001274,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,26,,
"Goswami, U; East, M",Rhyme and analogy in beginning reading: Conceptual and methodological issues,APPLIED PSYCHOLINGUISTICS,"Goswami and Bryant (1990) proposed a theory of reading development based on three causal connections. One of these causal connections was based on the relationship between rhyming skills and reading development found in English. To explain this connection, they suggested that young readers of English used analogies based on rimes as one means of deciphering the alphabetic code. This proposal has recently become the subject of some debate. The most serious critique has been advanced by Seymour and his colleagues (Duncan, Seymour, & Hill, 1997; Seymour & Duncan, 1997; Seymour & Evans, 1994). These authors reported a series of studies with Scottish schoolchildren which, they claim, show that progression in normal reading acquisition is from a small unit (phonemic) approach in the initial stage to a large unit (rime-based) approach at a later stage. Two experiments are presented which replicate those conducted by Seymour and his group with samples of English schoolchildren. Different results are found. It is argued that methodological and instructional factors may be very important for the conceptual interpretation of studies attempting to pit small units (phonemes) against large units (onsets and rimes) in reading. In particular, it is necessary to consider whether a given phonological awareness task requires the recognition of shared phonological segments (epilinguistic processing) or the identification and production of shared phonological segments (metalinguistic processing). It is also important to take into account the nature of the literacy instruction being implemented in participating schools. If the phonological aspects of this tuition focus solely on phonemes (small units), then poor rime-level (large unit) performance may be found in metalinguistic tasks.",53,MAR,2000,21,1,63,93,,10.1017/S0142716400001041,1,1,replication in a different language,0,"Duncan, L. G., Seymour, P. H. K., & Hill, S. (1997). How important are rhyme and analogy in beginning reading? Cognition, 63, 171â€“208.",Cognition,0,1997,3,0,1,1,0,0,1,conceptual,English (previously Scottish English),NA,53,134,21
"Zhao, Li-Ming; Alario, F. -Xavier; Yang, Yu-Fang",Grammatical planning scope in sentence production: Further evidence for the functional phrase hypothesis,APPLIED PSYCHOLINGUISTICS,"While there is a consensus that speakers plan their utterances before they start producing them, the scope of the initial planning unit remains controversial. In subject-initial utterances, is the planning unit the whole subject phrase or a smaller functional phrase within the subject phrase? Allum and Wheeldon (2007) reported that speakers show faster onset latencies in producing utterances like The flower above the house is red, where the subject consists of two functional phrases (the flower and above the house) than in producing The flower and the house are red, where there is a single, longer functional phrase (The flower and the house), both in head-initial languages like English and head-final languages like Japanese. This has been taken to suggest that the functional phrase is a preferred unit of planning, rather than the whole subject. Experiment 1 in the present study replicates Allum and Wheeldon's study with speakers of another head-final language (Mandarin Chinese) and finds similar results. Experiments 2 and 3 investigate whether syntactic processing or visual grouping could potentially explain the pattern of responses, and find that they cannot. Together, these results provide further empirical support for the claim that the functional phrase is a primary unit of grammatical planning for speech production.",7,SEP,2015,36,5,1059,1075,,10.1017/S0142716414000046,1,1,one of several experiments is a replication; replication in a different language,0,"Allum, P. H., & Wheeldon, L. R. (2007). Planning scope in spoken sentence production: The role of grammatical units. Journal of Experimental Psychology: Learning, Memory, and Cognition, 33, 791â€“810.",Journal of Experimental Psychology,0,2007,8,0,1,1,0,0,0,conceptual,Chinese (previously Japanese (&English)),NA,7,59,33
"Hall, Jeffrey A.; La France, Betty H.",How Context Matters: Predicting Men's Homophobic Slang Use,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,"This article reports two experiments exploring heterosexual men's use of homophobic slang in social contexts varied by sex ratio. Study 1 (N = 127) experimentally demonstrated that compared with a mixed-sex audience, heterosexual men with an all-male audience reported higher levels of hetero-identity concern (HIC) and more homophobic slang use. These men had similar levels of HIC compared with men with an all-female audience. Study 2 replicated Study 1's mean difference tests and explored whether the relationship between HIC and homophobic slang was affected by group sex ratio and social norms. Results suggest the relationship between HIC and homophobic slang was significant only in all-male and mixed-sex audiences and the norm of noninterference was associated with homophobic slang only in all-male groups.",1,JUN,2013,32,2,162,180,,10.1177/0261927X12456383,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,1,,
"Hansen, Karolina; Rakic, Tamara; Steffens, Melanie C.",When Actions Speak Louder Than Words: Preventing Discrimination of Nonstandard Speakers,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,"Prejudice against a social group may lead to discrimination of members of this group. One very strong cue of group membership is a (non)standard accent in speech. Surprisingly, hardly any interventions against accent-based discrimination have been tested. In the current article, we introduce an intervention in which what participants experience themselves unobtrusively changes their evaluations of others. In the present experiment, participants in the experimental condition talked to a confederate in a foreign language before the experiment, whereas those in the control condition received no treatment. Replicating previous research, participants in the control condition discriminated against Turkish-accented job candidates. In contrast, those in the experimental condition evaluated Turkish- and standard-accented candidates as similarly competent. We discuss potential mediating and moderating factors of this effect.",19,JAN,2014,33,1,68,77,,10.1177/0261927X13499761,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,19,,
"Lagerwerf, Luuk; Boeynaems, Amber; van Egmond-Brussee, Charlotte; Burgers, Christian",Immediate Attention for Public Speech: Differential Effects of Rhetorical Schemes and Valence Framing in Political Radio Speeches,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,"Political campaign speeches are deemed influential in winning people's minds and votes. While the language used in such speeches has often been credited with their impact, empirical research in this area is scarce. We report on two experiments investigating how language variables such as rhetorical schemes (e.g., contrast, list of three) and valence framing (using positive vs. negative words) affect immediate attention and consecutive information processing of political radio speeches. Experiment 1 measured immediate attention for radio speeches measured through moment-to-moment, self-report measures. Negative framing, compared with positive framing, increased immediate attention. Rhetorical schemes only increased attention in positively (but not in negatively) framed speeches. No effects on recall were found. In Experiment 2, immediate attention for similar radio speeches was measured through secondary task reaction times. Experiment 2 replicated the first experiment's effects on attention, and also yielded recall effects. A multiple-mediator model showed that comprehensibility mediated effects of rhetorical schemes and framing on recall.",2,JUN,2015,34,3,273,299,,10.1177/0261927X14557947,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,2,,
"Malloch, Yining Zhou; Feng, Bo; Wang, Bingqing; Kim, Chelsea",Advice Padded With Encouragement: A Preliminary Assessment of an Extended Integrated Model of Advice Giving in Supportive Interactions,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,"The integrated model of advice giving (IMA) proposes that advising in supportive interactions should be carried out in three sequential moves: emotional support-problem inquiry and analysis-advice (EPA). Prior research indicates the utility of this framework for effective advising in supportive interactions. The current project proposed and tested an extended integrated model of advice giving, adding eSteem support (S) as a fourth move in the sequence. Two experiments were conducted. Study 1 included 371 participants recruited from Amazon Mechanical Turk. Results showed that the emotional support-problem inquiry and analysis-advice-eSteem support (EPAS) sequence did not elicit significantly higher evaluations of advice quality compared with the EPA or emotional support-problem inquiry and analysis-eSteem support-advice (EPSA) sequence. Study 2 replicated Study 1 with 364 college students and found that, compared with the other two sequences, the EPAS sequence did not produce significantly higher evaluations of advice quality or intention to follow advice. Theoretical implications and directions for future research are discussed.",0,JUN,2020,39,3,334,348,,10.1177/0261927X20911991,1,1,inner-paper replication,0,same,same,1,2020,0,0,1,0,0,1,0,conceptual,English,NA,0,,
"Schroeder, Tobias",A Model of Language-Based Impression Formation and Attribution Among Germans,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,"Research on the English and the Japanese languages has shown that impression formation and attribution processes can be modeled as stemming from a desire to maximize affective coherence in linguistic representations of social events. This article describes a replication in the German language, simultaneously uncovering subtle cultural distinctions. Subjects (N = 1,905) rated 376 nouns, 393 verbs, 331 adjectives, 128 combinations of nouns and adjectives, and 100 short descriptions of social interaction on the three dimensions of the semantic differential (evaluation, potency, and activity). The data were used to estimate a set of regression equations that can be used to model impression formation and attribution. Sample applications of the model demonstrate its ability to predict the outcome of textbook classics in experimental social psychology.",17,MAR,2011,30,1,82,102,,10.1177/0261927X10387103,1,1,replication in a different language,0,"Smith, H. W., Matsuno, T., & Umino, M. (1994). How similar are impression formation processes among Japanese and Americans? Social Psychology Quarterly, 57, 124-139.",Social Psychology Quarterly,0,1994,17,0,1,1,0,0,0,conceptual,German (previously Japanese),NA,17,32,22
